id,age,agecat,sex,order,boxtype,trialtype,order2,trialno,side,response,correct
39,5,five,1,penfirst,pink-right,pen,1,1,L,R,1
39,5,five,1,penfirst,pink-right,pen,1,2,R,L,1
39,5,five,1,penfirst,pink-right,pen,1,3,R,R,0
39,5,five,1,penfirst,pink-right,pen,1,4,L,R,1
39,5,five,1,penfirst,pink-right,pen,1,5,R,L,1
39,5,five,1,penfirst,pink-right,pen,1,6,L,R,1
39,5,five,1,penfirst,pink-right,pen,1,7,L,R,1
39,5,five,1,penfirst,pink-right,pen,1,8,R,L,1
39,5,five,1,penfirst,pink-right,sticker,2,1,R,R,1
39,5,five,1,penfirst,pink-right,sticker,2,2,L,L,1
39,5,five,1,penfirst,pink-right,sticker,2,3,L,L,1
39,5,five,1,penfirst,pink-right,sticker,2,4,R,R,1
39,5,five,1,penfirst,pink-right,sticker,2,5,R,R,1
39,5,five,1,penfirst,pink-right,sticker,2,6,L,L,1
39,5,five,1,penfirst,pink-right,sticker,2,7,R,R,1
39,5,five,1,penfirst,pink-right,sticker,2,8,L,L,1
40,4,four,1,penfirst,blue-right,pen,1,1,L,L,0
40,4,four,1,penfirst,blue-right,pen,1,2,L,R,1
40,4,four,1,penfirst,blue-right,pen,1,3,R,L,1
40,4,four,1,penfirst,blue-right,pen,1,4,L,R,1
40,4,four,1,penfirst,blue-right,pen,1,5,R,L,1
40,4,four,1,penfirst,blue-right,pen,1,6,R,L,1
40,4,four,1,penfirst,blue-right,pen,1,7,L,R,1
40,4,four,1,penfirst,blue-right,pen,1,8,R,L,1
40,4,four,1,penfirst,blue-right,sticker,2,1,R,L,0
40,4,four,1,penfirst,blue-right,sticker,2,2,L,R,0
40,4,four,1,penfirst,blue-right,sticker,2,3,R,L,0
40,4,four,1,penfirst,blue-right,sticker,2,4,L,L,1
40,4,four,1,penfirst,blue-right,sticker,2,5,R,R,1
40,4,four,1,penfirst,blue-right,sticker,2,6,L,L,1
40,4,four,1,penfirst,blue-right,sticker,2,7,L,L,1
40,4,four,1,penfirst,blue-right,sticker,2,8,R,R,1
41,5,five,2,stickerfirst,blue-right,pen,2,1,R,L,1
41,5,five,2,stickerfirst,blue-right,pen,2,2,L,R,1
41,5,five,2,stickerfirst,blue-right,pen,2,3,L,R,1
41,5,five,2,stickerfirst,blue-right,pen,2,4,R,L,1
41,5,five,2,stickerfirst,blue-right,pen,2,5,R,L,1
41,5,five,2,stickerfirst,blue-right,pen,2,6,L,R,1
41,5,five,2,stickerfirst,blue-right,pen,2,7,R,L,1
41,5,five,2,stickerfirst,blue-right,pen,2,8,L,R,1
41,5,five,2,stickerfirst,blue-right,sticker,1,1,L,L,1
